transaction_date,owner,ticker,asset_type,type,amount,senator,basis,SPY basis
12/22/2020,Self,CRSP,Stock,Sale (Partial),"$50,001 - $100,000",James M Inhofe,172,367
12/15/2020,Self,BLK,Stock,Sale (Partial),"$50,001 - $100,000",James M Inhofe,696,368
11/17/2020,Joint,PFE,Stock,Purchase,"$1,001 - $15,000",Jacklyn S Rosen,36,360
11/05/2020,Spouse,WMT,Stock,Sale (Full),"$1,001 - $15,000",William Cassidy,143,350
11/05/2020,Spouse,UPS,Stock,Sale (Full),"$1,001 - $15,000",William Cassidy,164,350
11/05/2020,Spouse,SBUX,Stock,Sale (Full),"$1,001 - $15,000",William Cassidy,90,350
11/05/2020,Spouse,PLD,Stock,Sale (Full),"$1,001 - $15,000",William Cassidy,106,350
11/05/2020,Spouse,PG,Stock,Sale (Full),"$1,001 - $15,000",William Cassidy,142,350
11/05/2020,Spouse,JPM,Stock,Sale (Full),"$1,001 - $15,000",William Cassidy,102,350
11/05/2020,Spouse,MSFT,Stock,Sale (Full),"$1,001 - $15,000",William Cassidy,222,350
11/05/2020,Spouse,MDT,Stock,Sale (Full),"$1,001 - $15,000",William Cassidy,104,350
11/05/2020,Spouse,LOW,Stock,Sale (Full),"$1,001 - $15,000",William Cassidy,170,350
